System,Electrostatics,Exchange,Induction,Delta HF,Dispersion,Total SAPT(DFT),Distance
1.32_080,-55.190,100.781,-38.685,-6.377,-19.110,-18.582,80.0
1.32_085,-46.123,82.677,-27.829,-9.423,-16.081,-16.780,85.0
1.32_090,-38.362,67.350,-20.230,-10.243,-13.590,-15.074,90.0
1.32_095,-31.827,54.537,-14.886,-9.847,-11.529,-13.553,95.0
1.32_100,-26.387,43.936,-11.102,-8.860,-9.815,-12.228,100.0
1.32_105,-21.893,35.240,-8.395,-7.649,-8.383,-11.081,105.0
1.32_110,-18.200,28.159,-6.437,-6.423,-7.180,-10.081,110.0
1.32_125,-10.676,14.107,-3.126,-3.443,-4.576,-7.713,125.0
1.32_150,-4.871,4.269,-1.123,-1.043,-2.238,-5.007,150.0
1.32_200,-1.567,0.353,-0.211,-0.082,-0.589,-2.096,200.0
